NIK,Jenis Pekerjaan,Jumlah Penghasilan,Jumlah Tanggungan,Kondisi Rumah,Kepemilikan Rumah,Jaringan Listrik,Sumber Air,Umur,Ranking,Status kelayakan
1234561034770001,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Tidak Ada,Air Sungai ,<25,"0,754",Tidak Layak
1234561034770002,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Tidak Ada,Air Sumur,<25,"0,7415",Tidak Layak
1234561034770003,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Tidak Ada,PDAM,<25,"0,729",Tidak Layak
1234561034770004,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Sewa,Air Sungai ,<25,"0,7375",Tidak Layak
1234561034770005,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,Air Sungai ,<25,"0,721",Tidak Layak
1234561034770006,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Sewa,Air Sumur,<25,"0,725",Tidak Layak
1234561034770007,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Sewa,PDAM,<25,"0,7125",Tidak Layak
1234561034770008,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,Air Sumur,<25,"0,7085",Tidak Layak
1234561034770009,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Tidak Ada,Air Sungai ,<25,"0,729",Tidak Layak
1234561034770010,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Tidak Ada,Air Sungai ,<25,"0,704",Tidak Layak
1234561034770011,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Sewa,Air Sungai ,<25,"0,7125",Tidak Layak
1234561034770012,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Tidak Ada,Air Sumur,<25,"0,7165",Tidak Layak
1234561034770013,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Tidak Ada,PDAM,<25,"0,704",Tidak Layak
1234561034770014,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Milik Sendiri,Air Sungai ,<25,"0,696",Tidak Layak
1234561034770015,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Sewa,Air Sumur,<25,"0,7",Tidak Layak
1234561034770016,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Sewa,PDAM,<25,"0,6875",Tidak Layak
1234561034770017,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Milik Sendiri,Air Sumur,<25,"0,6835",Tidak Layak
1234561034770018,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Milik Sendiri,PDAM,<25,"0,671",Tidak Layak
1234561034770019,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,PDAM,<25,"0,696",Tidak Layak
1234561034770020,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Milik Sendiri,PDAM,<25,"0,646",Tidak Layak
1234561034770021,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Tidak Ada,Air Sumur,<25,"0,6915",Tidak Layak
1234561034770022,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Tidak Ada,PDAM,<25,"0,679",Tidak Layak
1234561034770023,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Sewa,Air Sungai ,<25,"0,6875",Tidak Layak
1234561034770024,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Milik Sendiri,Air Sungai ,<25,"0,671",Tidak Layak
1234561034770025,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Sewa,Air Sumur,<25,"0,675",Tidak Layak
1234561034770026,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Sewa,PDAM,<25,"0,6625",Tidak Layak
1234561034770027,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,Air Sumur,<25,"0,7085",Tidak Layak
1234561034770028,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Tidak Ada,Air Sungai ,>=25 s/d <35,"0,8165",Layak
1234561034770029,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Tidak Ada,Air Sumur,>=25 s/d <35,"0,804",Layak
1234561034770030,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Tidak Ada,PDAM,>=25 s/d <35,"0,7915",Tidak Layak
1234561034770031,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Sewa,Air Sungai ,>=25 s/d <35,"0,8",Layak
1234561034770032,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,Air Sungai ,>=25 s/d <35,"0,7835",Tidak Layak
1234561034770033,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Sewa,Air Sumur,>=25 s/d <35,"0,7875",Tidak Layak
1234561034770034,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Sewa,PDAM,>=25 s/d <35,"0,775",Tidak Layak
1234561034770035,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,Air Sumur,>=25 s/d <35,"0,771",Tidak Layak
1234561034770036,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Tidak Ada,Air Sungai ,>=25 s/d <35,"0,7915",Tidak Layak
1234561034770037,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Tidak Ada,Air Sungai ,>=25 s/d <35,"0,7665",Tidak Layak
1234561034770038,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Sewa,Air Sungai ,>=25 s/d <35,"0,775",Tidak Layak
1234561034770039,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Tidak Ada,Air Sumur,>=25 s/d <35,"0,779",Tidak Layak
1234561034770040,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Tidak Ada,PDAM,>=25 s/d <35,"0,7665",Tidak Layak
1234561034770041,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Milik Sendiri,Air Sungai ,>=25 s/d <35,"0,7585",Tidak Layak
1234561034770042,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Sewa,Air Sumur,>=25 s/d <35,"0,7625",Tidak Layak
1234561034770043,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Sewa,PDAM,>=25 s/d <35,"0,75",Tidak Layak
1234561034770044,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Milik Sendiri,Air Sumur,>=25 s/d <35,"0,746",Tidak Layak
1234561034770045,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Sewa,Milik Sendiri,PDAM,>=25 s/d <35,"0,7335",Tidak Layak
1234561034770046,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,PDAM,>=25 s/d <35,"0,7585",Tidak Layak
1234561034770047,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Milik Sendiri,PDAM,>=25 s/d <35,"0,7085",Tidak Layak
1234561034770048,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Tidak Ada,Air Sumur,>=25 s/d <35,"0,754",Tidak Layak
1234561034770049,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Tidak Ada,PDAM,>=25 s/d <35,"0,7415",Tidak Layak
1234561034770050,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Sewa,Air Sungai ,>=25 s/d <35,"0,75",Tidak Layak
1234561034770051,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Milik Sendiri,Air Sungai ,>=25 s/d <35,"0,7335",Tidak Layak
1234561034770052,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Sewa,Air Sumur,>=25 s/d <35,"0,7375",Tidak Layak
1234561034770053,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Milik Sendiri,Sewa,PDAM,>=25 s/d <35,"0,725",Tidak Layak
1234561034770054,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Milik Sendiri,Air Sumur,>=25 s/d <35,"0,771",Tidak Layak
1234561034770055,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Tidak Ada,Air Sungai ,>=35 s/d <=50,"0,879",Layak
1234561034770056,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Tidak Ada,Air Sumur,>=35 s/d <=50,"0,8665",Layak
1234561034770057,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Tidak Ada,PDAM,>=35 s/d <=50,"0,854",Layak
1234561034770058,Belum/Tidak bekerja,<500.000,1 atau tidak memiliki anak,Rusak,Numpang,Sewa,Air Sungai ,>=35 s/d <=50,"0,8625",Layak
